Class,Tumor Type,Precision,Recall,F1-Score,Support
1,Meningioma,0.75,0.25471698113207547,0.38028169014084506,212
2,Glioma,0.7173333333333334,0.9057239057239057,0.8005952380952381,297
3,Pituitary,0.7081545064377682,0.9649122807017544,0.8168316831683168,171
