,precision,recall,f1-score,support
Meningioma,0.75,0.25471698113207547,0.38028169014084506,212.0
Glioma,0.7173333333333334,0.9057239057239057,0.8005952380952381,297.0
Pituitary,0.7081545064377682,0.9649122807017544,0.8168316831683168,171.0
accuracy,0.7176470588235294,0.7176470588235294,0.7176470588235294,0.7176470588235294
macro avg,0.7251626132570338,0.7084510558525786,0.6659028704681332,680.0
weighted avg,0.7252094420600859,0.7176470588235294,0.6736392968322455,680.0
